coverage_id,point_id,chapter_id,heading_id,explanation_status,example_ids_json,answer_template_ids_json,source_refs_json,draft_status,source_check_status,human_review_status,checked_by,checked_at,blockers_json,updated_at
4PH1:issue4:1.1:motion-units,4PH1:issue4:1.1,forces-and-motion,motion-units,partial,"[""motion-units:example""]",[],"[{""documentId"": ""4PH1-spec"", ""pdfPages"": [17], ""provenanceKind"": ""source-fact"", ""observation"": ""Specification scope reviewed; explanation and examples are original teaching content.""}]",drafted,agent-source-checked,not-reviewed,Codex Astra,2026-09-09,"[""Substatement audit pending"", ""Assessment-family and whole-chapter review incomplete""]",2026-09-09
4PH1:issue4:1.3:distance-time-graphs,4PH1:issue4:1.3,forces-and-motion,distance-time-graphs,partial,"[""distance-time-graphs:example""]",[],"[{""documentId"": ""4PH1-spec"", ""pdfPages"": [17], ""provenanceKind"": ""source-fact"", ""observation"": ""Specification scope reviewed; explanation and examples are original teaching content.""}]",drafted,agent-source-checked,not-reviewed,Codex Astra,2026-09-09,"[""Substatement audit pending"", ""Assessment-family and whole-chapter review incomplete""]",2026-09-09
4PH1:issue4:1.4:average-speed,4PH1:issue4:1.4,forces-and-motion,average-speed,partial,"[""average-speed:example""]",[],"[{""documentId"": ""4PH1-spec"", ""pdfPages"": [17], ""provenanceKind"": ""source-fact"", ""observation"": ""Specification scope reviewed; explanation and examples are original teaching content.""}]",drafted,agent-source-checked,not-reviewed,Codex Astra,2026-09-09,"[""Substatement audit pending"", ""Assessment-family and whole-chapter review incomplete""]",2026-09-09
4PH1:issue4:1.4:distance-time-graphs,4PH1:issue4:1.4,forces-and-motion,distance-time-graphs,partial,"[""distance-time-graphs:example""]",[],"[{""documentId"": ""4PH1-spec"", ""pdfPages"": [17], ""provenanceKind"": ""source-fact"", ""observation"": ""Specification scope reviewed; explanation and examples are original teaching content.""}]",drafted,agent-source-checked,not-reviewed,Codex Astra,2026-09-09,"[""Substatement audit pending"", ""Assessment-family and whole-chapter review incomplete""]",2026-09-09
4PH1:issue4:1.4:investigating-motion,4PH1:issue4:1.4,forces-and-motion,investigating-motion,partial,"[""investigating-motion:example""]",[],"[{""documentId"": ""4PH1-spec"", ""pdfPages"": [17], ""provenanceKind"": ""source-fact"", ""observation"": ""Specification scope reviewed; explanation and examples are original teaching content.""}]",drafted,agent-source-checked,not-reviewed,Codex Astra,2026-09-09,"[""Substatement audit pending"", ""Assessment-family and whole-chapter review incomplete""]",2026-09-09
4PH1:issue4:1.5:investigating-motion,4PH1:issue4:1.5,forces-and-motion,investigating-motion,partial,"[""investigating-motion:example""]",[],"[{""documentId"": ""4PH1-spec"", ""pdfPages"": [17], ""provenanceKind"": ""source-fact"", ""observation"": ""Specification scope reviewed; explanation and examples are original teaching content.""}]",drafted,agent-source-checked,not-reviewed,Codex Astra,2026-09-09,"[""Substatement audit pending"", ""Assessment-family and whole-chapter review incomplete""]",2026-09-09
4PH1:issue4:1.6:investigating-motion,4PH1:issue4:1.6,forces-and-motion,investigating-motion,partial,"[""investigating-motion:example""]",[],"[{""documentId"": ""4PH1-spec"", ""pdfPages"": [17], ""provenanceKind"": ""source-fact"", ""observation"": ""Specification scope reviewed; explanation and examples are original teaching content.""}]",drafted,agent-source-checked,not-reviewed,Codex Astra,2026-09-09,"[""Substatement audit pending"", ""Assessment-family and whole-chapter review incomplete""]",2026-09-09
4PH1:issue4:1.6:acceleration,4PH1:issue4:1.6,forces-and-motion,acceleration,partial,"[""acceleration:example""]",[],"[{""documentId"": ""4PH1-spec"", ""pdfPages"": [17], ""provenanceKind"": ""source-fact"", ""observation"": ""Specification scope reviewed; explanation and examples are original teaching content.""}]",drafted,agent-source-checked,not-reviewed,Codex Astra,2026-09-09,"[""Substatement audit pending"", ""Assessment-family and whole-chapter review incomplete""]",2026-09-09
4PH1:issue4:1.6:velocity-time-graphs,4PH1:issue4:1.6,forces-and-motion,velocity-time-graphs,partial,"[""velocity-time-graphs:example""]",[],"[{""documentId"": ""4PH1-spec"", ""pdfPages"": [17], ""provenanceKind"": ""source-fact"", ""observation"": ""Specification scope reviewed; explanation and examples are original teaching content.""}]",drafted,agent-source-checked,not-reviewed,Codex Astra,2026-09-09,"[""Substatement audit pending"", ""Assessment-family and whole-chapter review incomplete""]",2026-09-09
4PH1:issue4:1.7:velocity-time-graphs,4PH1:issue4:1.7,forces-and-motion,velocity-time-graphs,partial,"[""velocity-time-graphs:example""]",[],"[{""documentId"": ""4PH1-spec"", ""pdfPages"": [17], ""provenanceKind"": ""source-fact"", ""observation"": ""Specification scope reviewed; explanation and examples are original teaching content.""}]",drafted,agent-source-checked,not-reviewed,Codex Astra,2026-09-09,"[""Substatement audit pending"", ""Assessment-family and whole-chapter review incomplete""]",2026-09-09
4PH1:issue4:1.8:velocity-time-graphs,4PH1:issue4:1.8,forces-and-motion,velocity-time-graphs,partial,"[""velocity-time-graphs:example""]",[],"[{""documentId"": ""4PH1-spec"", ""pdfPages"": [17], ""provenanceKind"": ""source-fact"", ""observation"": ""Specification scope reviewed; explanation and examples are original teaching content.""}]",drafted,agent-source-checked,not-reviewed,Codex Astra,2026-09-09,"[""Substatement audit pending"", ""Assessment-family and whole-chapter review incomplete""]",2026-09-09
4PH1:issue4:1.9:distance-from-velocity-graphs,4PH1:issue4:1.9,forces-and-motion,distance-from-velocity-graphs,partial,"[""distance-from-velocity-graphs:example""]",[],"[{""documentId"": ""4PH1-spec"", ""pdfPages"": [17], ""provenanceKind"": ""source-fact"", ""observation"": ""Specification scope reviewed; explanation and examples are original teaching content.""}]",drafted,agent-source-checked,not-reviewed,Codex Astra,2026-09-09,"[""Substatement audit pending"", ""Assessment-family and whole-chapter review incomplete""]",2026-09-09
4PH1:issue4:1.10:constant-acceleration,4PH1:issue4:1.10,forces-and-motion,constant-acceleration,partial,"[""constant-acceleration:example""]",[],"[{""documentId"": ""4PH1-spec"", ""pdfPages"": [17], ""provenanceKind"": ""source-fact"", ""observation"": ""Specification scope reviewed; explanation and examples are original teaching content.""}]",drafted,agent-source-checked,not-reviewed,Codex Astra,2026-09-09,"[""Substatement audit pending"", ""Assessment-family and whole-chapter review incomplete""]",2026-09-09
